item_id,quote_id,part_name,manufacturing_process,material,quantity,unit_price
ITM_00001,QUO_0001,Part-Source,CNC Milling,ABS Plastic,80,82.05
ITM_00002,QUO_0002,Part-Ball,3D Printing,ABS Plastic,140,116.25
ITM_00003,QUO_0002,Part-Painting,3D Printing,ABS Plastic,184,147.05
ITM_00004,QUO_0002,Part-Certain,CNC Milling,ABS Plastic,64,53.78
ITM_00005,QUO_0003,Part-Next,3D Printing,ABS Plastic,60,226.81
ITM_00006,QUO_0004,Part-Hit,CNC Milling,ABS Plastic,50,104.63
ITM_00007,QUO_0004,Part-Information,3D Printing,Aluminum 6061,16,292.8
ITM_00008,QUO_0005,Part-Former,3D Printing,ABS Plastic,77,151.43
ITM_00009,QUO_0005,Part-Rate,3D Printing,ABS Plastic,52,290.34
ITM_00010,QUO_0005,Part-Family,3D Printing,ABS Plastic,34,250.19
ITM_00011,QUO_0006,Part-Enjoy,3D Printing,Aluminum 6061,43,247.12
ITM_00012,QUO_0007,Part-Build,CNC Milling,ABS Plastic,157,241.41
ITM_00013,QUO_0007,Part-Agree,3D Printing,ABS Plastic,120,274.38
ITM_00014,QUO_0007,Part-Simply,CNC Milling,Aluminum 6061,83,179.22
ITM_00015,QUO_0008,Part-Cultural,CNC Milling,Aluminum 6061,25,63.98
ITM_00016,QUO_0008,Part-Money,3D Printing,ABS Plastic,45,20.75
ITM_00017,QUO_0008,Part-National,3D Printing,ABS Plastic,79,29.14
ITM_00018,QUO_0009,Part-Impact,CNC Milling,ABS Plastic,165,185.14
ITM_00019,QUO_0009,Part-White,CNC Milling,ABS Plastic,34,172.48
ITM_00020,QUO_0010,Part-Or,3D Printing,ABS Plastic,157,229.71
ITM_00021,QUO_0010,Part-Buy,3D Printing,ABS Plastic,36,151.24
ITM_00022,QUO_0011,Part-Everybody,3D Printing,ABS Plastic,25,187.45
ITM_00023,QUO_0011,Part-Stage,CNC Milling,Aluminum 6061,159,90.1
ITM_00024,QUO_0012,Part-Ever,CNC Milling,ABS Plastic,73,181.35
ITM_00025,QUO_0012,Part-Score,3D Printing,Aluminum 6061,137,202.42
ITM_00026,QUO_0012,Part-Like,3D Printing,Aluminum 6061,154,142.05
ITM_00027,QUO_0013,Part-Difficult,CNC Milling,ABS Plastic,176,49.29
ITM_00028,QUO_0013,Part-Population,3D Printing,ABS Plastic,110,214.23
ITM_00029,QUO_0014,Part-Feeling,3D Printing,Aluminum 6061,69,110.52
ITM_00030,QUO_0014,Part-Rule,3D Printing,ABS Plastic,173,263.42
ITM_00031,QUO_0015,Part-Whom,3D Printing,Aluminum 6061,198,159.58
ITM_00032,QUO_0015,Part-Military,CNC Milling,ABS Plastic,57,94.78
ITM_00033,QUO_0015,Part-Decision,3D Printing,Aluminum 6061,117,266.64
ITM_00034,QUO_0016,Part-Can,CNC Milling,ABS Plastic,45,107.01
ITM_00035,QUO_0016,Part-Central,CNC Milling,ABS Plastic,28,82.92
ITM_00036,QUO_0016,Part-Tonight,CNC Milling,ABS Plastic,35,201.36
ITM_00037,QUO_0017,Part-Back,CNC Milling,ABS Plastic,128,294.47
ITM_00038,QUO_0017,Part-Live,CNC Milling,Aluminum 6061,146,60.5
ITM_00039,QUO_0018,Part-Consider,CNC Milling,ABS Plastic,134,94.81
ITM_00040,QUO_0018,Part-Way,3D Printing,Aluminum 6061,190,103.6
ITM_00041,QUO_0019,Part-Sell,3D Printing,ABS Plastic,146,233.6
ITM_00042,QUO_0019,Part-Light,CNC Milling,ABS Plastic,87,263.49
ITM_00043,QUO_0020,Part-Begin,3D Printing,ABS Plastic,126,217.46
ITM_00044,QUO_0020,Part-Take,CNC Milling,ABS Plastic,174,241.87
ITM_00045,QUO_0020,Part-Rest,3D Printing,Aluminum 6061,14,55.35
ITM_00046,QUO_0021,Part-Through,CNC Milling,Aluminum 6061,189,60.36
ITM_00047,QUO_0022,Part-Front,3D Printing,ABS Plastic,106,201.95
ITM_00048,QUO_0022,Part-Region,3D Printing,Aluminum 6061,86,195.5
ITM_00049,QUO_0022,Part-Hand,3D Printing,Aluminum 6061,163,39.16
ITM_00050,QUO_0023,Part-Security,3D Printing,Aluminum 6061,185,264.32
ITM_00051,QUO_0023,Part-Attention,CNC Milling,Aluminum 6061,182,103.85
ITM_00052,QUO_0023,Part-Oil,3D Printing,ABS Plastic,88,242.92
ITM_00053,QUO_0024,Part-Occur,CNC Milling,Aluminum 6061,110,178.46
ITM_00054,QUO_0024,Part-Fill,3D Printing,Aluminum 6061,49,42.11
ITM_00055,QUO_0024,Part-Vote,CNC Milling,Aluminum 6061,132,275.59
ITM_00056,QUO_0025,Part-First,3D Printing,ABS Plastic,175,22.63
ITM_00057,QUO_0025,Part-Today,CNC Milling,ABS Plastic,178,173.05
ITM_00058,QUO_0026,Part-Coach,3D Printing,Aluminum 6061,181,90.03
ITM_00059,QUO_0026,Part-Seek,CNC Milling,Aluminum 6061,103,258.93
ITM_00060,QUO_0027,Part-Security,3D Printing,ABS Plastic,184,102.66
ITM_00061,QUO_0027,Part-Within,CNC Milling,ABS Plastic,7,178.46
ITM_00062,QUO_0028,Part-School,3D Printing,Aluminum 6061,167,73.24
ITM_00063,QUO_0029,Part-Pull,CNC Milling,ABS Plastic,84,240.81
ITM_00064,QUO_0030,Part-Contain,CNC Milling,Aluminum 6061,196,136.34
ITM_00065,QUO_0030,Part-Student,3D Printing,ABS Plastic,143,265.41
ITM_00066,QUO_0031,Part-High,3D Printing,Aluminum 6061,91,245.19
ITM_00067,QUO_0031,Part-Movie,CNC Milling,ABS Plastic,41,231.16
ITM_00068,QUO_0031,Part-Door,3D Printing,Aluminum 6061,147,122.42
ITM_00069,QUO_0032,Part-Campaign,3D Printing,ABS Plastic,177,229.72
ITM_00070,QUO_0032,Part-Deep,CNC Milling,Aluminum 6061,168,283.28
ITM_00071,QUO_0033,Part-Structure,CNC Milling,ABS Plastic,161,81.98
ITM_00072,QUO_0033,Part-Chair,3D Printing,Aluminum 6061,184,104.61
ITM_00073,QUO_0034,Part-Economic,CNC Milling,ABS Plastic,34,47.21
ITM_00074,QUO_0034,Part-Street,3D Printing,Aluminum 6061,121,123.88
ITM_00075,QUO_0035,Part-Minute,3D Printing,Aluminum 6061,109,282.93
ITM_00076,QUO_0035,Part-Agree,3D Printing,ABS Plastic,181,123.75
ITM_00077,QUO_0035,Part-Herself,CNC Milling,ABS Plastic,65,259.53
ITM_00078,QUO_0036,Part-Once,CNC Milling,ABS Plastic,75,73.15
ITM_00079,QUO_0036,Part-Page,CNC Milling,Aluminum 6061,28,205.58
ITM_00080,QUO_0037,Part-Home,CNC Milling,Aluminum 6061,22,252.35
ITM_00081,QUO_0038,Part-Manage,CNC Milling,Aluminum 6061,5,97.64
ITM_00082,QUO_0038,Part-Suggest,CNC Milling,Aluminum 6061,143,90.18
ITM_00083,QUO_0038,Part-Ok,CNC Milling,Aluminum 6061,174,262.61
ITM_00084,QUO_0039,Part-Carry,CNC Milling,ABS Plastic,49,94.3
ITM_00085,QUO_0040,Part-Population,CNC Milling,ABS Plastic,119,237.84
ITM_00086,QUO_0040,Part-Usually,CNC Milling,ABS Plastic,133,82.03
ITM_00087,QUO_0041,Part-Before,CNC Milling,ABS Plastic,107,139.36
ITM_00088,QUO_0041,Part-Attorney,CNC Milling,Aluminum 6061,187,274.72
ITM_00089,QUO_0042,Part-For,3D Printing,ABS Plastic,75,194.81
ITM_00090,QUO_0043,Part-Information,CNC Milling,Aluminum 6061,159,140.46
ITM_00091,QUO_0043,Part-Series,CNC Milling,ABS Plastic,115,146.44
ITM_00092,QUO_0043,Part-Serve,3D Printing,ABS Plastic,91,251.68
ITM_00093,QUO_0044,Part-Measure,CNC Milling,ABS Plastic,175,91.37
ITM_00094,QUO_0044,Part-Never,CNC Milling,Aluminum 6061,22,45.54
ITM_00095,QUO_0045,Part-Item,3D Printing,Aluminum 6061,147,36.79
