event_id,user_id,account_id,event_type,timestamp
EVT_00001,USR_0153,ACC_0037,download_cad,2026-08-24 16:35:48
EVT_00002,USR_0118,ACC_0010,view_quote,2026-08-26 16:35:48
EVT_00003,USR_0078,ACC_0015,view_quote,2026-07-31 16:35:48
EVT_00004,USR_0102,ACC_0040,request_checkout,2026-08-04 16:35:48
EVT_00005,USR_0159,ACC_0018,request_checkout,2026-08-05 16:35:48
EVT_00006,USR_0085,ACC_0002,request_checkout,2026-08-20 16:35:48
EVT_00007,USR_0111,ACC_0006,download_cad,2026-08-11 16:35:48
EVT_00008,USR_0035,ACC_0027,request_checkout,2026-08-20 16:35:48
EVT_00009,USR_0155,ACC_0009,download_cad,2026-08-24 16:35:48
EVT_00010,USR_0123,ACC_0009,request_checkout,2026-08-25 16:35:48
EVT_00011,USR_0102,ACC_0040,request_checkout,2026-08-21 16:35:48
EVT_00012,USR_0189,ACC_0006,download_cad,2026-08-10 16:35:48
EVT_00013,USR_0126,ACC_0047,download_cad,2026-08-05 16:35:48
EVT_00014,USR_0063,ACC_0005,request_checkout,2026-08-18 16:35:48
EVT_00015,USR_0072,ACC_0016,request_checkout,2026-08-19 16:35:48
EVT_00016,USR_0030,ACC_0012,download_cad,2026-08-24 16:35:48
EVT_00017,USR_0152,ACC_0002,download_cad,2026-08-25 16:35:48
EVT_00018,USR_0175,ACC_0005,download_cad,2026-08-30 16:35:48
EVT_00019,USR_0187,ACC_0028,request_checkout,2026-07-31 16:35:48
EVT_00020,USR_0182,ACC_0007,view_quote,2026-08-16 16:35:48
EVT_00021,USR_0075,ACC_0043,download_cad,2026-08-28 16:35:48
EVT_00022,USR_0105,ACC_0028,download_cad,2026-08-15 16:35:48
EVT_00023,USR_0036,ACC_0037,download_cad,2026-08-21 16:35:48
EVT_00024,USR_0062,ACC_0036,request_checkout,2026-08-09 16:35:48
EVT_00025,USR_0040,ACC_0030,download_cad,2026-08-17 16:35:48
EVT_00026,USR_0097,ACC_0033,view_quote,2026-08-16 16:35:48
EVT_00027,USR_0154,ACC_0006,request_checkout,2026-08-12 16:35:48
EVT_00028,USR_0103,ACC_0026,download_cad,2026-08-14 16:35:48
EVT_00029,USR_0178,ACC_0037,request_checkout,2026-08-13 16:35:48
EVT_00030,USR_0010,ACC_0013,request_checkout,2026-08-08 16:35:48
EVT_00031,USR_0138,ACC_0027,download_cad,2026-08-10 16:35:48
EVT_00032,USR_0022,ACC_0043,view_quote,2026-08-06 16:35:48
EVT_00033,USR_0064,ACC_0035,download_cad,2026-08-09 16:35:48
EVT_00034,USR_0091,ACC_0013,view_quote,2026-08-10 16:35:48
EVT_00035,USR_0157,ACC_0021,view_quote,2026-08-12 16:35:48
EVT_00036,USR_0166,ACC_0016,download_cad,2026-08-10 16:35:48
EVT_00037,USR_0103,ACC_0026,request_checkout,2026-07-31 16:35:48
EVT_00038,USR_0111,ACC_0006,view_quote,2026-08-30 16:35:48
EVT_00039,USR_0026,ACC_0048,request_checkout,2026-08-23 16:35:48
EVT_00040,USR_0131,ACC_0041,download_cad,2026-08-14 16:35:48
EVT_00041,USR_0143,ACC_0031,download_cad,2026-08-08 16:35:48
EVT_00042,USR_0148,ACC_0032,view_quote,2026-08-16 16:35:48
EVT_00043,USR_0096,ACC_0043,request_checkout,2026-08-16 16:35:48
EVT_00044,USR_0198,ACC_0006,download_cad,2026-08-12 16:35:48
EVT_00045,USR_0177,ACC_0044,download_cad,2026-08-26 16:35:48
EVT_00046,USR_0089,ACC_0028,view_quote,2026-08-15 16:35:48
EVT_00047,USR_0027,ACC_0004,request_checkout,2026-08-17 16:35:48
EVT_00048,USR_0022,ACC_0043,view_quote,2026-08-04 16:35:48
EVT_00049,USR_0187,ACC_0028,view_quote,2026-08-19 16:35:48
EVT_00050,USR_0080,ACC_0015,request_checkout,2026-08-16 16:35:48
EVT_00051,USR_0053,ACC_0018,download_cad,2026-08-15 16:35:48
EVT_00052,USR_0090,ACC_0008,request_checkout,2026-08-27 16:35:48
EVT_00053,USR_0113,ACC_0002,download_cad,2026-08-08 16:35:48
EVT_00054,USR_0116,ACC_0013,request_checkout,2026-08-28 16:35:48
EVT_00055,USR_0077,ACC_0025,view_quote,2026-08-05 16:35:48
EVT_00056,USR_0182,ACC_0007,view_quote,2026-08-30 16:35:48
EVT_00057,USR_0088,ACC_0028,download_cad,2026-08-27 16:35:48
EVT_00058,USR_0174,ACC_0026,view_quote,2026-08-01 16:35:48
EVT_00059,USR_0190,ACC_0016,view_quote,2026-08-14 16:35:48
EVT_00060,USR_0045,ACC_0016,download_cad,2026-08-25 16:35:48
EVT_00061,USR_0085,ACC_0002,download_cad,2026-08-17 16:35:48
EVT_00062,USR_0119,ACC_0049,view_quote,2026-08-05 16:35:48
EVT_00063,USR_0104,ACC_0020,download_cad,2026-08-25 16:35:48
EVT_00064,USR_0048,ACC_0042,download_cad,2026-08-09 16:35:48
EVT_00065,USR_0111,ACC_0006,request_checkout,2026-08-30 16:35:48
EVT_00066,USR_0189,ACC_0006,download_cad,2026-08-02 16:35:48
EVT_00067,USR_0051,ACC_0017,request_checkout,2026-08-12 16:35:48
