assignment_id,experiment_id,variant_id,store_id,customer_id,assigned_at
ASN_0001,EXP_S01,VAR_S01_A,STR_001,,2026-05-01 00:00:00
ASN_0002,EXP_S01,VAR_S01_B,STR_002,,2026-05-01 00:00:00
ASN_0003,EXP_S01,VAR_S01_A,STR_003,,2026-05-01 00:00:00
ASN_0004,EXP_S01,VAR_S01_B,STR_004,,2026-05-01 00:00:00
ASN_0005,EXP_S01,VAR_S01_A,STR_005,,2026-05-01 00:00:00
ASN_0006,EXP_S01,VAR_S01_B,STR_006,,2026-05-01 00:00:00
ASN_0007,EXP_S01,VAR_S01_A,STR_007,,2026-05-01 00:00:00
ASN_0008,EXP_S01,VAR_S01_B,STR_008,,2026-05-01 00:00:00
ASN_0009,EXP_S01,VAR_S01_A,STR_009,,2026-05-01 00:00:00
ASN_0010,EXP_S01,VAR_S01_B,STR_010,,2026-05-01 00:00:00
