transaction_id,store_id,customer_id,register_id,payment_method,total_amount,transacted_at
TXN_00001,STR_007,CUST_0084,REG_01,Cash,42.2,2026-08-02 16:35:48
TXN_00002,STR_003,CUST_0079,REG_01,Cash,512.11,2026-08-18 16:35:48
TXN_00003,STR_006,CUST_0002,REG_01,Cash,371.35,2026-08-08 16:35:48
TXN_00004,STR_006,CUST_0085,REG_01,Cash,587.24,2026-08-09 16:35:48
TXN_00005,STR_004,CUST_0043,REG_01,Cash,114.1,2026-08-22 16:35:48
TXN_00006,STR_004,CUST_0011,REG_01,Credit_Card,388.15,2026-08-16 16:35:48
TXN_00007,STR_010,CUST_0080,REG_01,Cash,497.26,2026-08-10 16:35:48
TXN_00008,STR_006,CUST_0092,REG_01,Credit_Card,65.75,2026-08-16 16:35:48
TXN_00009,STR_006,CUST_0046,REG_01,Credit_Card,452.05,2026-08-04 16:35:48
TXN_00010,STR_005,CUST_0079,REG_01,Cash,162.54,2026-08-24 16:35:48
TXN_00011,STR_002,CUST_0097,REG_01,Cash,74.3,2026-08-17 16:35:48
TXN_00012,STR_010,CUST_0065,REG_01,Credit_Card,878.43,2026-08-26 16:35:48
TXN_00013,STR_007,CUST_0085,REG_01,Cash,879.39,2026-08-11 16:35:48
TXN_00014,STR_008,CUST_0018,REG_01,Cash,751.76,2026-08-26 16:35:48
TXN_00015,STR_003,CUST_0091,REG_01,Cash,307.86,2026-08-10 16:35:48
TXN_00016,STR_009,CUST_0037,REG_01,Credit_Card,345.07,2026-08-02 16:35:48
TXN_00017,STR_005,CUST_0027,REG_01,Credit_Card,210.36,2026-08-06 16:35:48
TXN_00018,STR_009,CUST_0050,REG_01,Credit_Card,451.78,2026-08-23 16:35:48
TXN_00019,STR_010,CUST_0100,REG_01,Credit_Card,476.51,2026-08-03 16:35:48
TXN_00020,STR_007,CUST_0006,REG_01,Credit_Card,621.03,2026-08-17 16:35:48
TXN_00021,STR_003,CUST_0042,REG_01,Cash,362.25,2026-08-11 16:35:48
TXN_00022,STR_010,CUST_0071,REG_01,Credit_Card,141.09,2026-08-19 16:35:48
TXN_00023,STR_009,CUST_0021,REG_01,Credit_Card,628.38,2026-08-17 16:35:48
TXN_00024,STR_006,CUST_0058,REG_01,Cash,372.68,2026-08-23 16:35:48
TXN_00025,STR_005,CUST_0070,REG_01,Cash,458.1,2026-08-07 16:35:48
TXN_00026,STR_009,CUST_0011,REG_01,Credit_Card,165.46,2026-07-31 16:35:48
TXN_00027,STR_002,CUST_0027,REG_01,Credit_Card,643.9,2026-08-09 16:35:48
TXN_00028,STR_003,CUST_0004,REG_01,Cash,502.73,2026-08-16 16:35:48
TXN_00029,STR_007,CUST_0058,REG_01,Cash,449.95,2026-08-10 16:35:48
TXN_00030,STR_005,CUST_0078,REG_01,Cash,341.56,2026-08-28 16:35:48
TXN_00031,STR_003,CUST_0039,REG_01,Cash,301.62,2026-08-09 16:35:48
TXN_00032,STR_004,CUST_0096,REG_01,Credit_Card,470.68,2026-08-07 16:35:48
TXN_00033,STR_003,CUST_0086,REG_01,Cash,209.5,2026-08-05 16:35:48
TXN_00034,STR_002,CUST_0033,REG_01,Credit_Card,265.68,2026-08-27 16:35:48
TXN_00035,STR_005,CUST_0080,REG_01,Cash,420.36,2026-08-28 16:35:48
TXN_00036,STR_006,CUST_0055,REG_01,Cash,74.07,2026-08-25 16:35:48
TXN_00037,STR_005,CUST_0047,REG_01,Cash,413.28,2026-08-26 16:35:48
TXN_00038,STR_003,CUST_0069,REG_01,Cash,450.94,2026-08-24 16:35:48
TXN_00039,STR_009,CUST_0070,REG_01,Credit_Card,193.56,2026-08-15 16:35:48
TXN_00040,STR_007,CUST_0047,REG_01,Credit_Card,145.68,2026-08-14 16:35:48
TXN_00041,STR_008,CUST_0021,REG_01,Credit_Card,452.36,2026-08-25 16:35:48
TXN_00042,STR_005,CUST_0048,REG_01,Cash,92.86,2026-08-23 16:35:48
TXN_00043,STR_008,CUST_0059,REG_01,Credit_Card,83.45,2026-08-02 16:35:48
TXN_00044,STR_009,CUST_0082,REG_01,Cash,669.38,2026-08-04 16:35:48
TXN_00045,STR_007,CUST_0029,REG_01,Cash,909.38,2026-08-14 16:35:48
TXN_00046,STR_004,CUST_0020,REG_01,Credit_Card,235.82,2026-08-25 16:35:48
TXN_00047,STR_008,CUST_0087,REG_01,Credit_Card,431.66,2026-08-15 16:35:48
TXN_00048,STR_003,CUST_0034,REG_01,Cash,650.64,2026-08-01 16:35:48
TXN_00049,STR_010,CUST_0061,REG_01,Cash,541.91,2026-08-03 16:35:48
TXN_00050,STR_010,CUST_0076,REG_01,Cash,164.55,2026-08-28 16:35:48
TXN_00051,STR_003,CUST_0078,REG_01,Credit_Card,534.87,2026-08-27 16:35:48
TXN_00052,STR_008,CUST_0085,REG_01,Credit_Card,187.04,2026-08-26 16:35:48
TXN_00053,STR_009,CUST_0055,REG_01,Cash,509.2,2026-08-23 16:35:48
TXN_00054,STR_005,CUST_0025,REG_01,Credit_Card,234.0,2026-08-30 16:35:48
TXN_00055,STR_007,CUST_0084,REG_01,Cash,584.64,2026-08-24 16:35:48
TXN_00056,STR_010,CUST_0036,REG_01,Credit_Card,653.04,2026-08-09 16:35:48
TXN_00057,STR_008,CUST_0090,REG_01,Credit_Card,229.37,2026-07-31 16:35:48
TXN_00058,STR_007,CUST_0082,REG_01,Credit_Card,85.46,2026-08-30 16:35:48
TXN_00059,STR_002,CUST_0034,REG_01,Credit_Card,455.99,2026-08-23 16:35:48
TXN_00060,STR_008,CUST_0057,REG_01,Credit_Card,368.6,2026-08-30 16:35:48
TXN_00061,STR_001,CUST_0047,REG_01,Cash,23.9,2026-08-23 16:35:48
TXN_00062,STR_006,CUST_0086,REG_01,Credit_Card,820.81,2026-08-18 16:35:48
TXN_00063,STR_010,CUST_0025,REG_01,Cash,759.25,2026-08-16 16:35:48
TXN_00064,STR_008,CUST_0049,REG_01,Credit_Card,718.04,2026-08-12 16:35:48
TXN_00065,STR_006,CUST_0053,REG_01,Cash,328.45,2026-07-31 16:35:48
TXN_00066,STR_006,CUST_0046,REG_01,Credit_Card,567.06,2026-08-24 16:35:48
TXN_00067,STR_004,CUST_0032,REG_01,Credit_Card,221.35,2026-08-04 16:35:48
TXN_00068,STR_008,CUST_0048,REG_01,Credit_Card,496.41,2026-08-11 16:35:48
TXN_00069,STR_009,CUST_0055,REG_01,Cash,163.9,2026-08-15 16:35:48
TXN_00070,STR_002,CUST_0090,REG_01,Cash,450.69,2026-08-14 16:35:48
TXN_00071,STR_008,CUST_0079,REG_01,Cash,554.09,2026-08-20 16:35:48
TXN_00072,STR_003,CUST_0074,REG_01,Credit_Card,260.57,2026-08-26 16:35:48
TXN_00073,STR_003,CUST_0095,REG_01,Cash,576.85,2026-08-26 16:35:48
TXN_00074,STR_002,CUST_0089,REG_01,Credit_Card,140.22,2026-08-25 16:35:48
TXN_00075,STR_008,CUST_0096,REG_01,Credit_Card,344.4,2026-08-20 16:35:48
TXN_00076,STR_005,CUST_0046,REG_01,Credit_Card,778.78,2026-08-20 16:35:48
TXN_00077,STR_002,CUST_0021,REG_01,Cash,251.34,2026-08-20 16:35:48
TXN_00078,STR_008,CUST_0100,REG_01,Credit_Card,433.35,2026-08-03 16:35:48
TXN_00079,STR_004,CUST_0022,REG_01,Credit_Card,10.1,2026-08-18 16:35:48
TXN_00080,STR_001,CUST_0099,REG_01,Credit_Card,26.0,2026-08-18 16:35:48
TXN_00081,STR_007,CUST_0040,REG_01,Credit_Card,215.63,2026-08-23 16:35:48
TXN_00082,STR_001,CUST_0085,REG_01,Cash,411.96,2026-08-19 16:35:48
TXN_00083,STR_009,CUST_0082,REG_01,Credit_Card,274.06,2026-08-10 16:35:48
TXN_00084,STR_001,CUST_0067,REG_01,Cash,143.84,2026-08-04 16:35:48
TXN_00085,STR_005,CUST_0002,REG_01,Cash,656.98,2026-08-06 16:35:48
TXN_00086,STR_004,CUST_0034,REG_01,Cash,409.25,2026-08-28 16:35:48
TXN_00087,STR_010,CUST_0058,REG_01,Credit_Card,354.46,2026-08-22 16:35:48
TXN_00088,STR_004,CUST_0012,REG_01,Cash,89.52,2026-08-26 16:35:48
TXN_00089,STR_008,CUST_0048,REG_01,Credit_Card,34.26,2026-08-16 16:35:48
TXN_00090,STR_005,CUST_0100,REG_01,Cash,213.05,2026-08-18 16:35:48
TXN_00091,STR_007,CUST_0002,REG_01,Credit_Card,394.82,2026-08-27 16:35:48
TXN_00092,STR_008,CUST_0095,REG_01,Cash,291.4,2026-08-06 16:35:48
TXN_00093,STR_007,CUST_0088,REG_01,Cash,510.74,2026-07-31 16:35:48
TXN_00094,STR_001,CUST_0086,REG_01,Credit_Card,111.26,2026-08-24 16:35:48
TXN_00095,STR_003,CUST_0036,REG_01,Credit_Card,272.52,2026-08-12 16:35:48
TXN_00096,STR_010,CUST_0089,REG_01,Credit_Card,289.96,2026-08-15 16:35:48
TXN_00097,STR_001,CUST_0046,REG_01,Cash,436.04,2026-08-10 16:35:48
