_id,CONSOLIDATED_BUSINESS_SEGMENT,company_name,country
ACC000000,Enterprise,Company 0,US
ACC000001,Growth,Company 1,US
ACC000002,Individuals,Company 2,US
ACC000003,Enterprise,Company 3,UK
ACC000004,Core,Company 4,IN
ACC000005,Individuals,Company 5,US
ACC000006,Enterprise,Company 6,AU
ACC000007,Enterprise,Company 7,US
ACC000008,Core,Company 8,US
ACC000009,Growth,Company 9,CA
ACC000010,Growth,Company 10,CA
ACC000011,Individuals,Company 11,AU
ACC000012,Growth,Company 12,US
ACC000013,Enterprise,Company 13,CA
ACC000014,Growth,Company 14,US
ACC000015,Core,Company 15,US
ACC000016,Growth,Company 16,US
ACC000017,Core,Company 17,IN
ACC000018,Enterprise,Company 18,US
ACC000019,Growth,Company 19,AU
ACC000020,Enterprise,Company 20,UK
ACC000021,Growth,Company 21,CA
ACC000022,Individuals,Company 22,CA
ACC000023,Individuals,Company 23,AU
ACC000024,Enterprise,Company 24,US
ACC000025,Core,Company 25,US
ACC000026,Growth,Company 26,UK
ACC000027,Core,Company 27,US
ACC000028,Core,Company 28,US
ACC000029,Enterprise,Company 29,US
ACC000030,Enterprise,Company 30,US
ACC000031,Individuals,Company 31,US
ACC000032,Core,Company 32,US
ACC000033,Growth,Company 33,AU
ACC000034,Growth,Company 34,US
ACC000035,Core,Company 35,IN
ACC000036,Core,Company 36,IN
ACC000037,Growth,Company 37,US
ACC000038,Core,Company 38,CA
ACC000039,Enterprise,Company 39,UK
ACC000040,Growth,Company 40,UK
ACC000041,Enterprise,Company 41,US
ACC000042,Enterprise,Company 42,US
ACC000043,Core,Company 43,US
ACC000044,Enterprise,Company 44,UK
ACC000045,Enterprise,Company 45,IN
ACC000046,Growth,Company 46,UK
ACC000047,Core,Company 47,CA
ACC000048,Enterprise,Company 48,IN
ACC000049,Core,Company 49,UK
ACC000050,Core,Company 50,US
ACC000051,Core,Company 51,AU
ACC000052,Enterprise,Company 52,US
ACC000053,Enterprise,Company 53,US
ACC000054,Enterprise,Company 54,US
ACC000055,Enterprise,Company 55,IN
ACC000056,Growth,Company 56,US
ACC000057,Growth,Company 57,US
ACC000058,Core,Company 58,US
ACC000059,Core,Company 59,US
ACC000060,Enterprise,Company 60,US
ACC000061,Growth,Company 61,CA
ACC000062,Growth,Company 62,AU
ACC000063,Enterprise,Company 63,US
ACC000064,Growth,Company 64,US
ACC000065,Growth,Company 65,US
ACC000066,Growth,Company 66,US
ACC000067,Core,Company 67,UK
ACC000068,Core,Company 68,UK
ACC000069,Growth,Company 69,UK
ACC000070,Core,Company 70,US
ACC000071,Growth,Company 71,UK
ACC000072,Individuals,Company 72,US
ACC000073,Core,Company 73,US
ACC000074,Core,Company 74,IN
ACC000075,Core,Company 75,CA
ACC000076,Core,Company 76,IN
ACC000077,Enterprise,Company 77,AU
ACC000078,Growth,Company 78,UK
ACC000079,Enterprise,Company 79,IN
ACC000080,Enterprise,Company 80,US
ACC000081,Growth,Company 81,US
ACC000082,Enterprise,Company 82,US
ACC000083,Core,Company 83,US
ACC000084,Core,Company 84,US
ACC000085,Core,Company 85,US
ACC000086,Enterprise,Company 86,CA
ACC000087,Growth,Company 87,CA
ACC000088,Core,Company 88,UK
ACC000089,Growth,Company 89,US
ACC000090,Core,Company 90,CA
ACC000091,Enterprise,Company 91,US
ACC000092,Growth,Company 92,US
ACC000093,Growth,Company 93,US
ACC000094,Core,Company 94,US
ACC000095,Growth,Company 95,US
ACC000096,Growth,Company 96,CA
ACC000097,Core,Company 97,CA
ACC000098,Core,Company 98,UK
ACC000099,Individuals,Company 99,US
ACC000100,Individuals,Company 100,CA
ACC000101,Enterprise,Company 101,UK
ACC000102,Core,Company 102,US
ACC000103,Individuals,Company 103,UK
ACC000104,Enterprise,Company 104,US
ACC000105,Enterprise,Company 105,US
ACC000106,Growth,Company 106,US
ACC000107,Core,Company 107,US
ACC000108,Core,Company 108,US
ACC000109,Individuals,Company 109,US
ACC000110,Growth,Company 110,US
ACC000111,Core,Company 111,IN
ACC000112,Core,Company 112,US
ACC000113,Growth,Company 113,US
ACC000114,Core,Company 114,US
ACC000115,Individuals,Company 115,AU
ACC000116,Enterprise,Company 116,UK
ACC000117,Enterprise,Company 117,AU
ACC000118,Growth,Company 118,US
ACC000119,Growth,Company 119,US
ACC000120,Growth,Company 120,UK
ACC000121,Growth,Company 121,US
ACC000122,Core,Company 122,CA
ACC000123,Growth,Company 123,AU
ACC000124,Core,Company 124,US
ACC000125,Growth,Company 125,IN
ACC000126,Core,Company 126,UK
ACC000127,Core,Company 127,US
ACC000128,Core,Company 128,US
ACC000129,Growth,Company 129,US
ACC000130,Core,Company 130,CA
ACC000131,Individuals,Company 131,US
ACC000132,Growth,Company 132,US
ACC000133,Core,Company 133,UK
ACC000134,Growth,Company 134,US
ACC000135,Core,Company 135,US
ACC000136,Individuals,Company 136,UK
ACC000137,Growth,Company 137,US
ACC000138,Enterprise,Company 138,US
ACC000139,Core,Company 139,US
ACC000140,Growth,Company 140,US
ACC000141,Growth,Company 141,US
ACC000142,Individuals,Company 142,CA
ACC000143,Growth,Company 143,IN
ACC000144,Growth,Company 144,US
ACC000145,Core,Company 145,IN
ACC000146,Core,Company 146,UK
ACC000147,Growth,Company 147,UK
ACC000148,Growth,Company 148,CA
ACC000149,Core,Company 149,CA
ACC000150,Enterprise,Company 150,CA
ACC000151,Individuals,Company 151,US
ACC000152,Core,Company 152,US
ACC000153,Growth,Company 153,US
ACC000154,Core,Company 154,US
ACC000155,Enterprise,Company 155,UK
ACC000156,Core,Company 156,US
ACC000157,Enterprise,Company 157,US
ACC000158,Enterprise,Company 158,US
ACC000159,Enterprise,Company 159,US
ACC000160,Core,Company 160,UK
ACC000161,Individuals,Company 161,UK
ACC000162,Core,Company 162,US
ACC000163,Core,Company 163,US
ACC000164,Growth,Company 164,US
ACC000165,Growth,Company 165,US
ACC000166,Enterprise,Company 166,CA
ACC000167,Enterprise,Company 167,UK
ACC000168,Core,Company 168,US
ACC000169,Individuals,Company 169,US
ACC000170,Core,Company 170,IN
ACC000171,Growth,Company 171,CA
ACC000172,Core,Company 172,US
ACC000173,Individuals,Company 173,US
ACC000174,Core,Company 174,US
ACC000175,Core,Company 175,IN
ACC000176,Growth,Company 176,US
ACC000177,Individuals,Company 177,US
ACC000178,Individuals,Company 178,IN
ACC000179,Enterprise,Company 179,CA
ACC000180,Individuals,Company 180,US
ACC000181,Individuals,Company 181,US
ACC000182,Growth,Company 182,US
ACC000183,Core,Company 183,UK
ACC000184,Enterprise,Company 184,US
ACC000185,Enterprise,Company 185,IN
ACC000186,Growth,Company 186,IN
ACC000187,Core,Company 187,US
ACC000188,Enterprise,Company 188,UK
ACC000189,Core,Company 189,US
ACC000190,Individuals,Company 190,US
ACC000191,Core,Company 191,CA
ACC000192,Core,Company 192,US
ACC000193,Enterprise,Company 193,US
ACC000194,Core,Company 194,US
ACC000195,Core,Company 195,US
ACC000196,Growth,Company 196,US
ACC000197,Individuals,Company 197,CA
ACC000198,Core,Company 198,CA
ACC000199,Core,Company 199,UK
ACC000200,Enterprise,Company 200,AU
ACC000201,Individuals,Company 201,US
ACC000202,Growth,Company 202,AU
ACC000203,Core,Company 203,US
ACC000204,Core,Company 204,US
ACC000205,Core,Company 205,IN
ACC000206,Core,Company 206,US
ACC000207,Enterprise,Company 207,US
ACC000208,Core,Company 208,US
ACC000209,Growth,Company 209,US
ACC000210,Enterprise,Company 210,US
ACC000211,Growth,Company 211,US
ACC000212,Core,Company 212,AU
