date,station_id,city,product_family,shell_price_inr_per_liter,comp_min_price_inr_per_liter_within_3km,price_gap_inr_per_liter,liters_sold,revenue_inr,gross_margin_inr,downtime_minutes,stockout_flag,promo_active,competitors_within_3km,weather_heat_index,rainfall_mm,holiday_flag,footfall_estimate,cstore_transactions,cstore_revenue_inr,loyalty_signups,ev_charger_sessions
30-09-2025,BLR-001,Bangalore,Petrol,100.62,99.19,1.43,10191,1025418.42,94242.2,102,0,0,4,37,10.01125833,0,330,249,14556.97,28,11
30-09-2025,BLR-001,Bangalore,Diesel,109.08,109.08,0,10051,1096363.08,68893.61,57,0,1,2,40,18.35558684,0,675,287,30121.88,19,13
30-09-2025,BLR-001,Bangalore,CNG,98,97.23,0.77,6528,639744,34067.35,50,0,1,3,33,28.26605267,0,976,445,28769.61,24,11
29-09-2025,BLR-001,Bangalore,Petrol,101.6,101.42,0.18,5775,586740,30749.4,80,0,1,3,43,15.60204064,0,676,290,51139.39,16,1
29-09-2025,BLR-001,Bangalore,Diesel,100.93,99.54,1.39,12629,1274644.97,81218.85,39,0,1,4,34,17.60253497,1,387,479,43780.54,19,12
29-09-2025,BLR-001,Bangalore,CNG,96.12,94.64,1.48,10463,1005703.56,78084.54,135,0,1,2,37,21.87021504,0,972,589,61120.45,13,11
28-09-2025,BLR-001,Bangalore,Petrol,107.95,107.02,0.93,8104,874826.8,47633.52,150,0,1,5,37,8.24165379,0,938,200,39151.36,7,0
28-09-2025,BLR-001,Bangalore,Diesel,105.83,105.48,0.35,14062,1488181.46,78621.15,14,0,1,4,44,26.87290787,0,295,487,90647.73,27,6
28-09-2025,BLR-001,Bangalore,CNG,101.16,100.03,1.13,6059,612928.44,71099.55,70,0,0,3,39,24.24361139,0,845,383,65320.96,16,3
27-09-2025,BLR-001,Bangalore,Petrol,108.39,107.58,0.81,14721,1595609.19,93416.79,128,0,1,5,42,25.8219175,0,655,510,57431.94,9,0
27-09-2025,BLR-001,Bangalore,Diesel,96.8,96.29,0.51,6998,677406.4,41850.42,159,0,1,2,43,29.15346248,1,709,394,49087.39,21,4
27-09-2025,BLR-001,Bangalore,CNG,99.27,99.21,0.06,9737,966591.99,76140.96,86,0,1,4,43,4.346846163,0,871,297,25633.56,8,6
26-09-2025,BLR-001,Bangalore,Petrol,106.42,106.06,0.36,13958,1485410.36,157779.97,68,0,1,4,44,2.708693102,0,323,286,22301.64,7,3
26-09-2025,BLR-001,Bangalore,Diesel,99.89,99.56,0.33,14561,1454498.29,124863.61,146,0,0,2,30,11.92716063,0,840,366,37024.54,29,1
26-09-2025,BLR-001,Bangalore,CNG,108.87,107.55,1.32,5262,572873.94,55109.83,89,1,1,2,31,29.88761099,1,652,136,24805.78,27,8
25-09-2025,BLR-001,Bangalore,Petrol,99.18,98.13,1.05,7255,719550.9,81163.7,151,0,1,5,40,28.06904983,0,303,439,60188.21,20,13
25-09-2025,BLR-001,Bangalore,Diesel,109.1,107.64,1.46,7961,868545.1,53204.09,81,0,1,2,38,5.27775758,0,597,376,28885.6,28,7
25-09-2025,BLR-001,Bangalore,CNG,107.74,106.75,0.99,9555,1029455.7,88138.89,118,0,1,3,42,14.60226459,0,226,325,33316.32,5,11
24-09-2025,BLR-001,Bangalore,Petrol,105.03,103.73,1.3,12996,1364969.88,115945.37,3,0,1,2,41,28.21375753,1,572,105,11080,13,4
24-09-2025,BLR-001,Bangalore,Diesel,108.92,108.28,0.64,5606,610605.52,71717.69,115,0,1,4,30,9.507660155,0,992,589,112159.27,7,7
24-09-2025,BLR-001,Bangalore,CNG,96.06,95.75,0.31,9014,865884.84,103303.33,126,0,1,2,37,20.91047223,0,375,138,12977.35,27,9
23-09-2025,BLR-001,Bangalore,Petrol,107.15,105.85,1.3,13716,1469669.4,81877.62,134,0,1,2,37,21.05900632,0,670,242,25733.66,6,6
23-09-2025,BLR-001,Bangalore,Diesel,105.08,104.59,0.49,8769,921446.52,81073.59,124,0,1,2,33,1.165042033,0,643,200,25667.3,25,11
23-09-2025,BLR-001,Bangalore,CNG,98.24,97.31,0.93,10315,1013345.6,110395.51,115,0,1,5,33,3.982362667,1,305,257,14433.15,28,14
