exposure_id,experiment_id,variant_id,account_id,user_id,assigned_at,is_srm_valid
EXP_LOG_00001,EXP_E01,VAR_E01_A,ACC_0034,USR_0093,2026-07-24 16:35:48,1
EXP_LOG_00002,EXP_E01,VAR_E01_A,ACC_0001,USR_0181,2026-08-05 16:35:48,1
EXP_LOG_00003,EXP_E01,VAR_E01_A,ACC_0017,USR_0051,2026-07-31 16:35:48,1
EXP_LOG_00004,EXP_E01,VAR_E01_A,ACC_0040,USR_0071,2026-08-01 16:35:48,1
EXP_LOG_00005,EXP_E01,VAR_E01_A,ACC_0043,USR_0095,2026-08-13 16:35:48,1
EXP_LOG_00006,EXP_E01,VAR_E01_B,ACC_0049,USR_0119,2026-08-01 16:35:48,1
EXP_LOG_00007,EXP_E01,VAR_E01_B,ACC_0050,USR_0130,2026-07-29 16:35:48,1
EXP_LOG_00008,EXP_E01,VAR_E01_B,ACC_0040,USR_0102,2026-08-07 16:35:48,1
EXP_LOG_00009,EXP_E01,VAR_E01_B,ACC_0050,USR_0163,2026-07-24 16:35:48,1
EXP_LOG_00010,EXP_E01,VAR_E01_B,ACC_0026,USR_0032,2026-08-06 16:35:48,1
EXP_LOG_00011,EXP_E01,VAR_E01_B,ACC_0005,USR_0175,2026-08-14 16:35:48,1
EXP_LOG_00012,EXP_E01,VAR_E01_B,ACC_0004,USR_0008,2026-08-11 16:35:48,1
EXP_LOG_00013,EXP_E01,VAR_E01_B,ACC_0036,USR_0062,2026-08-02 16:35:48,1
EXP_LOG_00014,EXP_E01,VAR_E01_A,ACC_0043,USR_0096,2026-08-20 16:35:48,1
EXP_LOG_00015,EXP_E01,VAR_E01_B,ACC_0047,USR_0126,2026-08-03 16:35:48,1
EXP_LOG_00016,EXP_E01,VAR_E01_B,ACC_0037,USR_0153,2026-08-11 16:35:48,1
EXP_LOG_00017,EXP_E01,VAR_E01_A,ACC_0030,USR_0115,2026-08-05 16:35:48,1
EXP_LOG_00018,EXP_E01,VAR_E01_A,ACC_0011,USR_0046,2026-08-10 16:35:48,1
EXP_LOG_00019,EXP_E01,VAR_E01_B,ACC_0016,USR_0122,2026-07-31 16:35:48,1
EXP_LOG_00020,EXP_E01,VAR_E01_B,ACC_0009,USR_0151,2026-07-24 16:35:48,1
EXP_LOG_00021,EXP_E01,VAR_E01_B,ACC_0049,USR_0142,2026-08-12 16:35:48,1
EXP_LOG_00022,EXP_E01,VAR_E01_B,ACC_0008,USR_0090,2026-08-14 16:35:48,1
EXP_LOG_00023,EXP_E01,VAR_E01_A,ACC_0028,USR_0089,2026-08-04 16:35:48,1
EXP_LOG_00024,EXP_E01,VAR_E01_A,ACC_0007,USR_0042,2026-07-23 16:35:48,1
EXP_LOG_00025,EXP_E01,VAR_E01_A,ACC_0020,USR_0067,2026-07-26 16:35:48,1
EXP_LOG_00026,EXP_E01,VAR_E01_B,ACC_0014,USR_0024,2026-07-30 16:35:48,1
EXP_LOG_00027,EXP_E01,VAR_E01_B,ACC_0027,USR_0073,2026-07-30 16:35:48,1
EXP_LOG_00028,EXP_E01,VAR_E01_A,ACC_0006,USR_0189,2026-07-28 16:35:48,1
EXP_LOG_00029,EXP_E01,VAR_E01_A,ACC_0036,USR_0099,2026-07-31 16:35:48,1
EXP_LOG_00030,EXP_E01,VAR_E01_B,ACC_0005,USR_0013,2026-08-11 16:35:48,1
EXP_LOG_00031,EXP_E01,VAR_E01_B,ACC_0044,USR_0177,2026-07-22 16:35:48,1
EXP_LOG_00032,EXP_E01,VAR_E01_B,ACC_0015,USR_0147,2026-08-08 16:35:48,1
EXP_LOG_00033,EXP_E01,VAR_E01_B,ACC_0014,USR_0055,2026-07-28 16:35:48,1
EXP_LOG_00034,EXP_E01,VAR_E01_A,ACC_0004,USR_0057,2026-08-02 16:35:48,1
EXP_LOG_00035,EXP_E01,VAR_E01_A,ACC_0016,USR_0166,2026-08-10 16:35:48,1
EXP_LOG_00036,EXP_E01,VAR_E01_A,ACC_0018,USR_0058,2026-07-30 16:35:48,1
EXP_LOG_00037,EXP_E01,VAR_E01_B,ACC_0018,USR_0053,2026-07-22 16:35:48,1
EXP_LOG_00038,EXP_E01,VAR_E01_B,ACC_0043,USR_0069,2026-08-04 16:35:48,1
EXP_LOG_00039,EXP_E01,VAR_E01_B,ACC_0028,USR_0105,2026-07-24 16:35:48,1
EXP_LOG_00040,EXP_E01,VAR_E01_A,ACC_0029,USR_0132,2026-07-25 16:35:48,1
