order_id,quote_id,account_id,status,total_amount,payment_status,ordered_at
ORD_0001,QUO_0002,ACC_0024,Shipped,46774.12,Paid,2026-04-23 16:35:48
ORD_0002,QUO_0003,ACC_0035,Shipped,13608.6,Paid,2026-07-06 16:35:48
ORD_0003,QUO_0005,ACC_0007,Shipped,35264.25,Paid,2026-08-19 16:35:48
ORD_0004,QUO_0006,ACC_0041,Delivered,10626.16,Paid,2026-08-09 16:35:48
ORD_0005,QUO_0007,ACC_0036,Delivered,85702.23,Paid,2026-05-08 16:35:48
ORD_0006,QUO_0009,ACC_0005,Delivered,36412.42,Paid,2026-06-24 16:35:48
ORD_0007,QUO_0014,ACC_0030,Delivered,53197.54,Paid,2026-07-31 16:35:48
ORD_0008,QUO_0015,ACC_0034,Shipped,68196.18,Paid,2026-05-22 16:35:48
ORD_0009,QUO_0017,ACC_0033,Shipped,46525.16,Paid,2026-06-14 16:35:48
ORD_0010,QUO_0019,ACC_0031,Shipped,57029.23,Paid,2026-05-26 16:35:48
ORD_0011,QUO_0030,ACC_0006,Shipped,64676.27,Paid,2026-06-08 16:35:48
ORD_0012,QUO_0033,ACC_0040,Delivered,32447.02,Paid,2026-04-01 16:35:48
ORD_0013,QUO_0037,ACC_0009,Delivered,5551.7,Paid,2026-03-31 16:35:48
ORD_0014,QUO_0047,ACC_0008,Delivered,18140.22,Paid,2026-06-12 16:35:48
ORD_0015,QUO_0050,ACC_0043,Shipped,55368.28,Paid,2026-05-06 16:35:48
ORD_0016,QUO_0051,ACC_0044,Shipped,60083.04,Paid,2026-03-24 16:35:48
ORD_0017,QUO_0057,ACC_0047,Shipped,3171.35,Paid,2026-03-10 16:35:48
ORD_0018,QUO_0061,ACC_0036,Delivered,38856.93,Paid,2026-08-12 16:35:48
ORD_0019,QUO_0063,ACC_0039,Shipped,99295.25,Paid,2026-08-09 16:35:48
ORD_0020,QUO_0066,ACC_0002,Delivered,19108.05,Paid,2026-05-22 16:35:48
ORD_0021,QUO_0067,ACC_0007,Delivered,64371.33,Paid,2026-04-15 16:35:48
ORD_0022,QUO_0069,ACC_0037,Shipped,31999.59,Paid,2026-05-02 16:35:48
ORD_0023,QUO_0070,ACC_0031,Delivered,21201.67,Paid,2026-05-19 16:35:48
ORD_0024,QUO_0071,ACC_0023,Delivered,33100.59,Paid,2026-08-16 16:35:48
ORD_0025,QUO_0073,ACC_0006,Delivered,21977.52,Paid,2026-08-18 16:35:48
ORD_0026,QUO_0076,ACC_0003,Shipped,11665.88,Paid,2026-03-13 16:35:48
ORD_0027,QUO_0087,ACC_0043,Shipped,24699.6,Paid,2026-05-26 16:35:48
ORD_0028,QUO_0096,ACC_0010,Shipped,38193.76,Paid,2026-06-03 16:35:48
ORD_0029,QUO_0097,ACC_0007,Delivered,38132.56,Paid,2026-08-10 16:35:48
ORD_0030,QUO_0099,ACC_0004,Shipped,27702.79,Paid,2026-08-10 16:35:48
ORD_0031,QUO_0101,ACC_0049,Shipped,38302.05,Paid,2026-04-04 16:35:48
ORD_0032,QUO_0102,ACC_0039,Delivered,25336.66,Paid,2026-04-14 16:35:48
ORD_0033,QUO_0106,ACC_0034,Delivered,67987.11,Paid,2026-06-30 16:35:48
ORD_0034,QUO_0108,ACC_0036,Delivered,33218.49,Paid,2026-06-13 16:35:48
ORD_0035,QUO_0109,ACC_0046,Delivered,38135.54,Paid,2026-08-02 16:35:48
ORD_0036,QUO_0110,ACC_0040,Shipped,2292.07,Paid,2026-03-25 16:35:48
ORD_0037,QUO_0114,ACC_0042,Shipped,51049.61,Paid,2026-04-05 16:35:48
ORD_0038,QUO_0119,ACC_0031,Shipped,49427.4,Paid,2026-04-07 16:35:48
ORD_0039,QUO_0122,ACC_0047,Delivered,19620.94,Paid,2026-08-17 16:35:48
ORD_0040,QUO_0123,ACC_0003,Delivered,26850.99,Paid,2026-06-10 16:35:48
ORD_0041,QUO_0126,ACC_0047,Delivered,23905.86,Paid,2026-07-25 16:35:48
ORD_0042,QUO_0133,ACC_0035,Delivered,9169.53,Paid,2026-07-05 16:35:48
ORD_0043,QUO_0134,ACC_0047,Delivered,9968.23,Paid,2026-04-01 16:35:48
ORD_0044,QUO_0137,ACC_0048,Shipped,12420.03,Paid,2026-07-16 16:35:48
ORD_0045,QUO_0142,ACC_0040,Delivered,47170.62,Paid,2026-03-12 16:35:48
ORD_0046,QUO_0143,ACC_0045,Delivered,8865.6,Paid,2026-05-04 16:35:48
ORD_0047,QUO_0146,ACC_0037,Shipped,19727.61,Paid,2026-07-29 16:35:48
ORD_0048,QUO_0148,ACC_0022,Delivered,27935.3,Paid,2026-05-16 16:35:48
