quote_id,account_id,status,total_price,estimated_lead_time_days,created_at
QUO_0001,ACC_0029,Draft,6564.0,12,2026-08-16 16:35:48
QUO_0002,ACC_0024,Approved,46774.12,14,2026-04-21 16:35:48
QUO_0003,ACC_0035,Approved,13608.6,6,2026-07-04 16:35:48
QUO_0004,ACC_0019,Draft,9916.3,10,2026-06-23 16:35:48
QUO_0005,ACC_0007,Approved,35264.25,12,2026-08-17 16:35:48
QUO_0006,ACC_0041,Approved,10626.16,4,2026-08-07 16:35:48
QUO_0007,ACC_0036,Approved,85702.23,13,2026-05-06 16:35:48
QUO_0008,ACC_0014,Draft,4835.31,10,2026-06-14 16:35:48
QUO_0009,ACC_0005,Approved,36412.42,4,2026-06-22 16:35:48
QUO_0010,ACC_0004,Pending,41509.11,11,2026-07-09 16:35:48
QUO_0011,ACC_0035,Draft,19012.15,12,2026-04-16 16:35:48
QUO_0012,ACC_0038,Pending,62845.79,8,2026-08-15 16:35:48
QUO_0013,ACC_0027,Draft,32240.34,3,2026-05-27 16:35:48
QUO_0014,ACC_0030,Approved,53197.54,6,2026-07-29 16:35:48
QUO_0015,ACC_0034,Approved,68196.18,13,2026-05-20 16:35:48
QUO_0016,ACC_0039,Draft,14184.81,7,2026-06-20 16:35:48
QUO_0017,ACC_0033,Approved,46525.16,7,2026-06-12 16:35:48
QUO_0018,ACC_0050,Pending,32388.54,11,2026-05-06 16:35:48
QUO_0019,ACC_0031,Approved,57029.23,9,2026-05-24 16:35:48
QUO_0020,ACC_0003,Pending,70260.24,4,2026-05-31 16:35:48
QUO_0021,ACC_0034,Pending,11408.04,7,2026-04-26 16:35:48
QUO_0022,ACC_0022,Draft,44602.78,4,2026-03-14 16:35:48
QUO_0023,ACC_0028,Pending,89176.86,9,2026-07-26 16:35:48
QUO_0024,ACC_0010,Pending,58071.87,13,2026-06-19 16:35:48
QUO_0025,ACC_0017,Pending,34763.15,12,2026-04-25 16:35:48
QUO_0026,ACC_0020,Pending,42965.22,12,2026-03-10 16:35:48
QUO_0027,ACC_0023,Pending,20138.66,6,2026-03-26 16:35:48
QUO_0028,ACC_0039,Draft,12231.08,4,2026-05-22 16:35:48
QUO_0029,ACC_0041,Draft,20228.04,5,2026-03-08 16:35:48
QUO_0030,ACC_0006,Approved,64676.27,7,2026-06-06 16:35:48
QUO_0031,ACC_0031,Pending,49785.59,11,2026-06-06 16:35:48
QUO_0032,ACC_0008,Pending,88251.48,3,2026-04-26 16:35:48
QUO_0033,ACC_0040,Approved,32447.02,3,2026-03-30 16:35:48
QUO_0034,ACC_0003,Pending,16594.62,13,2026-06-04 16:35:48
QUO_0035,ACC_0007,Draft,70107.57,13,2026-04-17 16:35:48
QUO_0036,ACC_0023,Pending,11242.49,6,2026-08-05 16:35:48
QUO_0037,ACC_0009,Approved,5551.7,8,2026-03-29 16:35:48
QUO_0038,ACC_0050,Pending,59078.08,6,2026-07-14 16:35:48
QUO_0039,ACC_0038,Draft,4620.7,4,2026-05-30 16:35:48
QUO_0040,ACC_0048,Pending,39212.95,13,2026-08-04 16:35:48
QUO_0041,ACC_0002,Pending,66284.16,12,2026-08-05 16:35:48
QUO_0042,ACC_0010,Draft,14610.75,11,2026-08-04 16:35:48
QUO_0043,ACC_0019,Draft,62076.62,4,2026-04-26 16:35:48
QUO_0044,ACC_0021,Pending,16991.63,4,2026-05-03 16:35:48
QUO_0045,ACC_0048,Pending,5408.13,8,2026-05-17 16:35:48
QUO_0046,ACC_0043,Draft,37693.85,8,2026-05-04 16:35:48
QUO_0047,ACC_0008,Approved,18140.22,5,2026-06-10 16:35:48
QUO_0048,ACC_0048,Pending,6409.48,10,2026-03-11 16:35:48
QUO_0049,ACC_0022,Pending,21471.28,10,2026-07-11 16:35:48
QUO_0050,ACC_0043,Approved,55368.28,7,2026-05-04 16:35:48
QUO_0051,ACC_0044,Approved,60083.04,7,2026-03-22 16:35:48
QUO_0052,ACC_0014,Draft,36391.41,14,2026-07-16 16:35:48
QUO_0053,ACC_0015,Draft,55700.56,13,2026-04-14 16:35:48
QUO_0054,ACC_0027,Draft,2790.72,10,2026-06-07 16:35:48
QUO_0055,ACC_0045,Draft,29749.36,9,2026-05-20 16:35:48
QUO_0056,ACC_0034,Pending,21208.44,8,2026-07-31 16:35:48
QUO_0057,ACC_0047,Approved,3171.35,12,2026-03-08 16:35:48
QUO_0058,ACC_0010,Draft,14318.0,12,2026-03-06 16:35:48
QUO_0059,ACC_0029,Pending,73020.14,11,2026-03-29 16:35:48
QUO_0060,ACC_0005,Pending,8475.84,12,2026-06-02 16:35:48
QUO_0061,ACC_0036,Approved,38856.93,8,2026-08-10 16:35:48
QUO_0062,ACC_0046,Pending,58824.98,13,2026-07-30 16:35:48
QUO_0063,ACC_0039,Approved,99295.25,12,2026-08-07 16:35:48
QUO_0064,ACC_0043,Draft,58740.43,9,2026-07-15 16:35:48
QUO_0065,ACC_0042,Draft,38155.04,8,2026-05-28 16:35:48
QUO_0066,ACC_0002,Approved,19108.05,7,2026-05-20 16:35:48
QUO_0067,ACC_0007,Approved,64371.33,9,2026-04-13 16:35:48
QUO_0068,ACC_0024,Pending,28327.35,13,2026-06-21 16:35:48
QUO_0069,ACC_0037,Approved,31999.59,13,2026-04-30 16:35:48
QUO_0070,ACC_0031,Approved,21201.67,10,2026-05-17 16:35:48
QUO_0071,ACC_0023,Approved,33100.59,8,2026-08-14 16:35:48
QUO_0072,ACC_0007,Draft,48704.19,3,2026-03-07 16:35:48
QUO_0073,ACC_0006,Approved,21977.52,9,2026-08-16 16:35:48
QUO_0074,ACC_0041,Pending,28347.3,9,2026-03-14 16:35:48
QUO_0075,ACC_0001,Pending,52579.24,10,2026-03-16 16:35:48
QUO_0076,ACC_0003,Approved,11665.88,3,2026-03-11 16:35:48
QUO_0077,ACC_0023,Draft,23457.02,10,2026-04-03 16:35:48
QUO_0078,ACC_0003,Pending,3864.16,11,2026-06-06 16:35:48
QUO_0079,ACC_0026,Pending,27181.65,4,2026-04-03 16:35:48
QUO_0080,ACC_0024,Draft,36175.23,7,2026-05-01 16:35:48
QUO_0081,ACC_0006,Pending,21699.35,4,2026-05-04 16:35:48
QUO_0082,ACC_0006,Pending,84931.6,13,2026-05-29 16:35:48
QUO_0083,ACC_0004,Pending,34467.86,12,2026-08-01 16:35:48
QUO_0084,ACC_0003,Pending,25984.44,4,2026-03-19 16:35:48
QUO_0085,ACC_0037,Pending,31394.26,14,2026-07-16 16:35:48
QUO_0086,ACC_0029,Draft,32114.05,8,2026-06-27 16:35:48
QUO_0087,ACC_0043,Approved,24699.6,10,2026-05-24 16:35:48
QUO_0088,ACC_0002,Pending,48165.76,13,2026-05-20 16:35:48
QUO_0089,ACC_0005,Draft,34872.88,5,2026-04-27 16:35:48
QUO_0090,ACC_0020,Draft,24510.51,7,2026-07-09 16:35:48
QUO_0091,ACC_0006,Draft,48059.26,7,2026-06-17 16:35:48
QUO_0092,ACC_0040,Draft,26530.84,12,2026-04-06 16:35:48
