event_id,store_id,zone,dwell_time_seconds,timestamp
SEN_00001,STR_007,Checkout Queue,258,2026-08-26 16:35:48
SEN_00002,STR_004,Entrance,153,2026-08-14 16:35:48
SEN_00003,STR_008,Tools Aisle,137,2026-08-25 16:35:48
SEN_00004,STR_010,Checkout Queue,34,2026-08-11 16:35:48
SEN_00005,STR_003,Checkout Queue,270,2026-08-11 16:35:48
SEN_00006,STR_002,Checkout Queue,169,2026-08-19 16:35:48
SEN_00007,STR_007,Entrance,300,2026-08-23 16:35:48
SEN_00008,STR_004,Entrance,286,2026-08-27 16:35:48
SEN_00009,STR_010,Tools Aisle,291,2026-08-14 16:35:48
SEN_00010,STR_004,Tools Aisle,121,2026-08-22 16:35:48
SEN_00011,STR_001,Entrance,72,2026-08-26 16:35:48
SEN_00012,STR_008,Tools Aisle,105,2026-08-25 16:35:48
SEN_00013,STR_001,Entrance,201,2026-08-21 16:35:48
SEN_00014,STR_004,Tools Aisle,143,2026-08-20 16:35:48
SEN_00015,STR_010,Tools Aisle,37,2026-08-27 16:35:48
SEN_00016,STR_001,Checkout Queue,105,2026-08-25 16:35:48
SEN_00017,STR_001,Tools Aisle,278,2026-08-27 16:35:48
SEN_00018,STR_002,Entrance,242,2026-08-12 16:35:48
SEN_00019,STR_010,Tools Aisle,229,2026-08-24 16:35:48
SEN_00020,STR_006,Entrance,71,2026-08-20 16:35:48
SEN_00021,STR_004,Entrance,136,2026-08-17 16:35:48
SEN_00022,STR_004,Tools Aisle,127,2026-08-28 16:35:48
SEN_00023,STR_008,Checkout Queue,263,2026-08-29 16:35:48
SEN_00024,STR_007,Entrance,125,2026-08-11 16:35:48
SEN_00025,STR_008,Entrance,213,2026-08-19 16:35:48
SEN_00026,STR_003,Tools Aisle,114,2026-08-10 16:35:48
SEN_00027,STR_006,Tools Aisle,118,2026-08-20 16:35:48
SEN_00028,STR_003,Entrance,45,2026-08-22 16:35:48
SEN_00029,STR_003,Entrance,253,2026-08-16 16:35:48
SEN_00030,STR_007,Entrance,190,2026-08-23 16:35:48
SEN_00031,STR_005,Checkout Queue,95,2026-08-10 16:35:48
SEN_00032,STR_010,Entrance,298,2026-08-23 16:35:48
SEN_00033,STR_002,Tools Aisle,282,2026-08-15 16:35:48
SEN_00034,STR_004,Checkout Queue,257,2026-08-16 16:35:48
SEN_00035,STR_005,Entrance,234,2026-08-23 16:35:48
SEN_00036,STR_004,Tools Aisle,237,2026-08-12 16:35:48
SEN_00037,STR_004,Checkout Queue,91,2026-08-12 16:35:48
SEN_00038,STR_001,Tools Aisle,37,2026-08-29 16:35:48
SEN_00039,STR_008,Checkout Queue,273,2026-08-29 16:35:48
SEN_00040,STR_007,Checkout Queue,216,2026-08-15 16:35:48
