item_id,transaction_id,sku,product_name,category,quantity,unit_price
PITM_00001,TXN_00001,SKU-1960,More,Tools,1,15.6
PITM_00002,TXN_00001,SKU-8908,Stage,Tools,2,13.3
PITM_00003,TXN_00002,SKU-3140,Population,Tools,5,7.31
PITM_00004,TXN_00002,SKU-2850,Wife,Tools,4,78.63
PITM_00005,TXN_00002,SKU-2037,Market,Tools,4,40.26
PITM_00006,TXN_00003,SKU-2560,Turn,Tools,3,46.53
PITM_00007,TXN_00003,SKU-5072,Thus,Tools,4,57.94
PITM_00008,TXN_00004,SKU-1894,Simply,Tools,2,72.12
PITM_00009,TXN_00004,SKU-3571,Short,Tools,1,56.47
PITM_00010,TXN_00004,SKU-9123,Assume,Tools,5,72.91
PITM_00011,TXN_00004,SKU-9055,Season,Tools,2,10.99
PITM_00012,TXN_00005,SKU-7203,Certainly,Tools,5,22.82
PITM_00013,TXN_00006,SKU-9166,Natural,Tools,5,40.85
PITM_00014,TXN_00006,SKU-9148,Despite,Tools,4,30.28
PITM_00015,TXN_00006,SKU-7755,Option,Tools,1,13.21
PITM_00016,TXN_00006,SKU-1002,Garden,Tools,1,49.57
PITM_00017,TXN_00007,SKU-8474,Recognize,Tools,5,49.99
PITM_00018,TXN_00007,SKU-1889,Mean,Tools,3,34.07
PITM_00019,TXN_00007,SKU-6439,Never,Tools,2,72.55
PITM_00020,TXN_00008,SKU-4633,However,Tools,1,65.75
PITM_00021,TXN_00009,SKU-2741,Former,Tools,5,46.76
PITM_00022,TXN_00009,SKU-9067,Consumer,Tools,1,76.75
PITM_00023,TXN_00009,SKU-7704,Machine,Tools,2,70.75
PITM_00024,TXN_00010,SKU-7437,While,Tools,1,79.42
PITM_00025,TXN_00010,SKU-4122,No,Tools,2,41.56
PITM_00026,TXN_00011,SKU-8381,Guess,Tools,5,14.86
PITM_00027,TXN_00012,SKU-1795,Office,Tools,1,47.43
PITM_00028,TXN_00012,SKU-8912,Health,Tools,5,79.82
PITM_00029,TXN_00012,SKU-3903,Require,Tools,5,67.49
PITM_00030,TXN_00012,SKU-3103,Sport,Tools,5,18.89
PITM_00031,TXN_00013,SKU-7859,Trip,Tools,5,75.51
PITM_00032,TXN_00013,SKU-5067,Set,Tools,5,78.27
PITM_00033,TXN_00013,SKU-6617,Responsibility,Tools,3,36.83
PITM_00034,TXN_00014,SKU-9393,Question,Tools,5,61.0
PITM_00035,TXN_00014,SKU-9975,Suggest,Tools,3,72.45
PITM_00036,TXN_00014,SKU-4560,Room,Tools,3,61.95
PITM_00037,TXN_00014,SKU-5760,Everything,Tools,2,21.78
PITM_00038,TXN_00015,SKU-6281,Poor,Tools,5,48.4
PITM_00039,TXN_00015,SKU-8870,Member,Tools,1,65.86
PITM_00040,TXN_00016,SKU-1414,Dark,Tools,1,46.82
PITM_00041,TXN_00016,SKU-1927,Employee,Tools,4,16.63
PITM_00042,TXN_00016,SKU-3636,Family,Tools,2,26.36
PITM_00043,TXN_00016,SKU-3399,Open,Tools,3,59.67
PITM_00044,TXN_00017,SKU-2679,Fire,Tools,3,70.12
PITM_00045,TXN_00018,SKU-7349,Down,Tools,1,79.12
PITM_00046,TXN_00018,SKU-6122,Year,Tools,4,81.54
PITM_00047,TXN_00018,SKU-5117,Finish,Tools,5,9.3
PITM_00048,TXN_00019,SKU-7025,Spend,Tools,2,77.92
PITM_00049,TXN_00019,SKU-4218,Fight,Tools,5,48.73
PITM_00050,TXN_00019,SKU-3906,Sea,Tools,2,28.53
PITM_00051,TXN_00019,SKU-3847,Despite,Tools,1,19.96
PITM_00052,TXN_00020,SKU-3636,Road,Tools,5,26.14
PITM_00053,TXN_00020,SKU-1092,Sea,Tools,5,72.68
PITM_00054,TXN_00020,SKU-3536,Middle,Tools,3,42.31
PITM_00055,TXN_00021,SKU-5934,Free,Tools,5,72.45
PITM_00056,TXN_00022,SKU-4012,Media,Tools,3,47.03
PITM_00057,TXN_00023,SKU-4495,Happy,Tools,1,32.95
PITM_00058,TXN_00023,SKU-5809,Opportunity,Tools,3,31.49
PITM_00059,TXN_00023,SKU-9691,World,Tools,2,81.02
PITM_00060,TXN_00023,SKU-1144,World,Tools,4,84.73
