store_id,store_name,open_date,store_size_sqft,population_density,location_zip,risk_tier,region,state,format_type
ST-02049,Dollar Tree #2049,2007-07-08,7982,5622.2,31711,Low,Southeast,NC,Standard
ST-02050,Dollar Tree #2050,2000-04-22,8527,5335.3,88606,Medium,Southwest,IL,Standard
ST-02051,Dollar Tree #2051,2003-02-14,11836,5440.8,29711,High,Southwest,KS,Plus
ST-02052,Dollar Tree #2052,2024-07-01,10434,9227.7,36886,High,Southwest,TN,Plus
ST-02053,Dollar Tree #2053,2010-06-01,10088,6189.2,60842,Medium,West,IL,Standard
ST-02054,Dollar Tree #2054,2004-12-03,10923,10075.9,99558,Medium,Southeast,MS,Plus
ST-02055,Dollar Tree #2055,2006-04-11,8893,4980.2,42606,High,Midwest,NV,Standard
ST-02056,Dollar Tree #2056,2012-10-16,13869,486.5,83834,Low,Mid-Atlantic,OR,Standard
ST-02057,Dollar Tree #2057,2014-12-26,6179,4788.7,55243,Medium,Southwest,TX,Plus
ST-02058,Dollar Tree #2058,2013-12-15,13448,5204.8,67325,Medium,Midwest,GA,Standard
ST-02059,Dollar Tree #2059,2011-05-16,7295,2188.8,86741,High,West,CO,Plus
ST-02060,Dollar Tree #2060,2006-01-13,8986,766.1,39960,Low,Mid-Atlantic,NM,Standard
ST-02061,Dollar Tree #2061,2002-10-23,10528,790.8,20388,Medium,Midwest,IN,Standard
ST-02062,Dollar Tree #2062,2009-03-28,9570,3486.5,34382,Low,Southwest,MI,Standard
ST-02063,Dollar Tree #2063,2016-02-08,13141,1288.8,16834,Medium,Mid-Atlantic,MS,Combo
ST-02064,Dollar Tree #2064,2005-05-18,9852,11315.8,32010,Low,Northeast,MS,Standard
ST-02065,Dollar Tree #2065,2019-12-03,6551,9319.5,45264,Low,West,NY,Plus
ST-02066,Dollar Tree #2066,2017-06-24,7465,2002.1,34485,Low,Northeast,VA,Standard
ST-02067,Dollar Tree #2067,2024-05-17,12662,444.5,76127,Low,Southwest,PA,Standard
ST-02068,Dollar Tree #2068,2001-08-05,12934,1761.0,89818,Medium,West,MS,Standard
