experiment_id,group_id,group_name,user_id,timestamp,account_id,account_domain,quote_id,order_id,job_id,partner_id,user_dimensions
billing_profile_confirmation_v2,control,control,USR0020314,2025-05-15,ACC000031,individuals.com,QT412716775,,,,"{""segment"":""Individuals""}"
billing_profile_confirmation_v2,treatment,treatment,USR0006006,2025-05-29,ACC002807,enterprise.com,QT547599676,,,,"{""segment"":""Enterprise""}"
billing_profile_confirmation_v2,control,control,USR0005240,2025-03-27,ACC002387,core.com,QT910347445,,,,"{""segment"":""Core""}"
billing_profile_confirmation_v2,treatment,treatment,USR0011905,2025-05-04,ACC001963,core.com,QT577480315,,,,"{""segment"":""Core""}"
billing_profile_confirmation_v2,treatment,treatment,USR0017618,2025-06-18,ACC002861,growth.com,QT902652881,,,,"{""segment"":""Growth""}"
billing_profile_confirmation_v2,treatment,treatment,USR0014901,2025-03-23,ACC002720,growth.com,QT242525470,,,,"{""segment"":""Growth""}"
billing_profile_confirmation_v2,control,control,USR0022460,2025-03-21,ACC001749,growth.com,QT100233889,ORD67420702,,,"{""segment"":""Growth""}"
billing_profile_confirmation_v2,treatment,treatment,USR0005603,2025-06-19,ACC001815,growth.com,QT578882778,,,,"{""segment"":""Growth""}"
billing_profile_confirmation_v2,treatment,treatment,USR0005841,2025-04-24,ACC000534,core.com,QT300839230,,,,"{""segment"":""Core""}"
billing_profile_confirmation_v2,treatment,treatment,USR0001681,2025-04-13,ACC001499,enterprise.com,QT698593541,,,,"{""segment"":""Enterprise""}"
billing_profile_confirmation_v2,treatment,treatment,USR0014170,2025-05-31,ACC001483,core.com,QT546863274,,,,"{""segment"":""Core""}"
billing_profile_confirmation_v2,control,control,USR0011059,2025-04-16,ACC002964,core.com,QT317702819,,,,"{""segment"":""Core""}"
billing_profile_confirmation_v2,control,control,USR0018850,2025-02-20,ACC000413,individuals.com,QT207511700,,,,"{""segment"":""Individuals""}"
billing_profile_confirmation_v2,treatment,treatment,USR0016306,2025-05-27,ACC001093,core.com,QT067210733,,,,"{""segment"":""Core""}"
